id,name
CZ0201530921,Vranov
CZ0205530930,Štipoklasy
CZ0201530948,Vrchotovy Janovice
CZ0205530956,Opatovice I
CZ0205530964,Bludov
CZ0205530972,Třebětín
CZ0641531006,Ludíkov
CZ0201530514,Psáře
CZ0201530522,Rabyně
CZ0201530531,Radošovice
CZ0324530182,Žákava
CZ0201530204,Mrač
CZ0325530221,Hněvnice
CZ0325530239,Bílov
CZ0325530247,Potvorov
CZ0201530263,Nespeky
CZ0201530301,Neustupov
CZ0201530310,Neveklov
CZ0325530328,Čerňovice
CZ0201530352,Ostředek
CZ0326530379,Drahoňův Újezd
CZ0511530387,Radvanec
CZ0421530395,Janská
CZ0201530409,Petroupim
CZ0641530824,Velenov
CZ0421530417,Doubice
CZ0512530425,Dalešice
CZ0513530433,Kunratice
CZ0201530841,Týnec nad Sázavou
CZ0201530867,Veliš
CZ0205530875,Starkoč
CZ0531530697,Úherčice
CZ0531571610,Kočí
CZ0202531201,Hostomice
CZ0202531219,Hředle
CZ0202531235,Hvozdec
CZ0202531243,Hýskov
CZ0202531251,Chaloupky
CZ0205531260,Dolní Pohleď
CZ0205531014,Vodranty
CZ0201531022,Zdislavice
CZ0201531031,Kamberk
CZ0201531049,Zvěstov
CZ0201530549,Rataje
CZ0424530557,Kozly
CZ0424530565,Želkovice
CZ0424530581,Čeradice
CZ0201530611,Smilkov
CZ0427530620,Přestanov
CZ0631530646,Hurtova Lhota
CZ0631530662,Ždírec
CZ0521530671,Pšánky
CZ0715530727,Brníčko
CZ0522530735,Staré Hrady
CZ0201530743,Bílkovice
CZ0201530751,Tehov
CZ0201530778,Tichonice
CZ0523530786,Říkov
CZ0525530808,Královec
CZ0201530816,Trhový Štěpánov
CZ0202531529,Měňany
CZ0202531545,Mořina
CZ0206531561,Tuhaň
CZ0206531570,Dobřeň
CZ0202531588,Neumětely
CZ0202531600,Nový Jáchymov
CZ020A531618,Nučice
CZ0202531057,Beroun
CZ0205531065,Souňov
CZ0202531073,Běštín
CZ0202531081,Broumy
CZ0202531090,Březová
CZ0206531511,Zlončice
CZ0205531111,Bernardov
CZ0202531120,Bzová
CZ0202531138,Cerhovice
CZ020A531146,Drahelčice
CZ0202531472,Lochovice
CZ0321553816,Koloveč
CZ0202531642,Osov
CZ0202531162,Felbabka
CZ0202531171,Hlásná Třebaň
CZ0202531448,Libomyšl
CZ0202531456,Liteň
CZ0206531499,Hostín
CZ0206531502,Liblice
CZ0202531952,Všeradice
CZ0202531961,Vysoký Újezd
CZ0202531979,Zadní Třebaň
CZ0634588342,Vícenice
CZ0634545040,Radotice
CZ0206531987,Dolní Zimoř
CZ0202531685,Podluhy
CZ0202531596,Nižbor
CZ0202531189,Hořovice
CZ0202531464,Loděnice
CZ0206531677,Lobeč
CZ0202531634,Osek
CZ0206531651,Kanina
CZ0202531669,Otročiněves
CZ0205531286,Bratčice
CZ0202531294,Chyňava
CZ0202531308,Jivina
CZ0202531316,Karlštejn
CZ0202531324,Komárov
CZ0202531332,Koněprusy
CZ0205531341,Drobovice
CZ0712552089,Tovéř
CZ0202531537,Mezouň
CZ0205531359,Horky
CZ0205531367,Adamov
CZ0205531383,Schořov
CZ0205531391,Sudějov
CZ0205531405,Kobylnice
CZ0205531413,Hraběšín
CZ0205531421,Šebestěnice
CZ0205531430,Horka I
CZ0203532185,Cvrčovice
CZ0201532231,Slověnice
CZ0201532258,Litichovice
CZ0201532266,Všechlapy
CZ0201532304,Třebešice
CZ0202531901,Újezd
CZ0316536954,Krejnice
CZ0202532029,Žebrák
CZ0203532070,Běloky
CZ0203532274,Družec
CZ0203532282,Dřetovice
CZ0203532291,Dřínov
CZ0202531693,Praskolesy
CZ0206531707,Nosálov
CZ0202531715,Rpety
CZ020A531723,Rudná
CZ0206531731,Stránka
CZ0202531740,Skuhrov
CZ0202531758,Srbsko
CZ0205534366,Řendějov
CZ0202531766,Stašov
CZ0206531774,Kadlín
CZ0202531791,Svatá
CZ0202531804,Svatý Jan pod Skalou
CZ0205534480,Tupadly
CZ0202531812,Svinaře
CZ020A531821,Tachlovice
CZ0202531847,Tlustice
CZ0202531855,Tmaň
CZ0206531863,Nedomice
CZ0202531880,Trubská
CZ0202531910,Velký Chlumec
CZ0206531928,Hostín u Vojkovic
CZ0206531936,Vidim
CZ0201532193,Lštění
CZ0203532207,Černuc
CZ020A532215,Červený Újezd
CZ0201532151,Drahňovice
CZ0203532169,Buštěhrad
CZ0203532177,Tuřany
CZ0207536610,Semčice
CZ0316536628,Hlupín
CZ0207536636,Skalsko
CZ0207536652,Smilovice
CZ0207536661,Sojovice
CZ0201532037,Chrášťany
CZ0203532371,Hřebeč
CZ0316536911,Pohorovice
CZ0207536938,Všejany
CZ0316536946,Kalenice
CZ0207536971,Žďár
CZ0203532312,Horní Bezděkov
CZ0203532321,Hořešovice
CZ0203532339,Hospozín
CZ0203532347,Hostouň
CZ0203532355,Hradečno
CZ0202531995,Zaječov
CZ0202532002,Záluží
CZ0206535354,Zálezlice
CZ0201532878,Chleby
CZ0202532011,Zdice
CZ0203532053,Kladno
CZ0203532088,Beřovice
CZ0201532096,Borovnice
CZ0203532100,Blevice
CZ0203532118,Brandýsek
CZ0203532126,Braškov
CZ0201532134,Ješetice
CZ0204533891,Vrbčany
CZ0202533912,Mořinka
CZ0204533921,Zásmuky
CZ0202533939,Lážovice
CZ0204533947,Žiželice
CZ0205533955,Kutná Hora
CZ0202534285,Podbrdy
CZ0205534153,Krchleby
CZ0205534161,Křesetice
CZ0205534188,Malešov
CZ0205534196,Svatý Mikuláš
CZ0202534218,Málkov
CZ0205534226,Nepoměřice
CZ0202534234,Vinařice
CZ0203532959,Třebichovice
CZ0206534803,Hořín
CZ0205534323,Petrovice II
CZ0205534358,Rataje nad Sázavou
CZ0207536377,Nová Telib
CZ0711536385,Jeseník
CZ0715536393,Jestřebí
CZ0316536415,Měkynec
CZ0205534242,Nové Dvory
CZ0205534251,Okřesaneč
CZ0202534269,Nesvačily
CZ0205534277,Onomyšl
CZ0205534293,Soběšín
CZ0205534307,Pertoltice
CZ0205534315,Petrovice I
CZ0205534331,Potěhy
CZ0205534340,Rašovice
CZ0311535761,Jivno
CZ0201533076,Pavlovice
CZ0206534951,Kralupy nad Vltavou
CZ0209534960,Křenek
CZ0206535303,Vraňany
CZ0206535311,Všestudy
CZ0206535320,Všetaty
CZ0311535346,Plav
CZ0209535362,Záryby
CZ0311535371,Nákří
CZ0311535893,Vitín
CZ0311535915,Vlkov
CZ0207535923,Chocnějovice
CZ0207535931,Chotětov
CZ0311535940,Mazelov
CZ0311535958,Drahotěšice
CZ0201534382,Sázava
CZ0205534391,Slavošov
CZ0202534404,Lužce
CZ0205534412,Staňkovice
CZ0205534439,Suchdol
CZ0206534978,Ledčice
CZ0209534986,Lhota
CZ0206535001,Liběchov
CZ0206535397,Želízy
CZ0207535419,Mladá Boleslav
CZ0207535427,Bakov nad Jizerou
CZ0207535443,Bělá pod Bezdězem
CZ0207535451,Benátky nad Jizerou
CZ0207536270,Luštěnice
CZ0715536288,Jedlí
CZ0312536300,Věžovatá Pláně
CZ0202533670,Chrustenice
CZ0203532860,Stochov
CZ0715532894,Bušín
CZ0203532908,Svinařov
CZ0203532916,Šlapanice
CZ0201532924,Bukovany
CZ0202534447,Chodouň
CZ0202534463,Točník
CZ0208534471,Záhornice
CZ0311535591,Zvíkov
CZ0207535605,Bukovno
CZ0311535613,Hvozdec
CZ0207535621,Čachovice
CZ0207535630,Čistá
CZ0311535648,Nová Ves
CZ0203532363,Hrdlív
CZ0201532380,Blažejovice
CZ0203532398,Chržín
CZ0513544345,Proseč pod Ještědem
CZ0513544353,Heřmanice
CZ0723544507,Mikulůvka
CZ0311544523,Hosín
CZ0311544540,Hranice
CZ0311544558,Hrdějovice
CZ0206535028,Lužec nad Vltavou
CZ0206535036,Malý Újezd
CZ0207536334,Němčice
CZ0316536342,Krajníčko
CZ0316536369,Hornosín
CZ0311545121,Ševětín
CZ0634545031,Menhartice
CZ0201532690,Ctiboř
CZ0311545104,Svatý Jan nad Malší
CZ0724545112,Valašské Příkazy
CZ0311545139,Štěpánovice
CZ0311535460,Hradce
CZ0207535478,Bezno
CZ0207535486,Bítouchov
CZ0209534684,Borek
CZ0208534706,Chroustov
CZ0206534714,Býkev
CZ0203533050,Vinařice
CZ0203533068,Vraný
CZ0201533084,Kladruby
CZ0204533165,Kolín
CZ0204533173,Barchovice
CZ0204533181,Bečváry
CZ0204533190,Bělušice
CZ0312536253,Bohdalovice
CZ0206535117,Nová Ves
CZ0203535125,Bílichov
CZ0206535133,Obříství
CZ0206535141,Ovčáry
CZ0203535150,Hořešovičky
CZ0204533246,Cerhenice
CZ0209533254,Černé Voděrady
CZ0204533262,Červené Pečky
CZ0203532410,Jedomělice
CZ0203532428,Jemníky
CZ0201532436,Snět
CZ0311544973,Roudné
CZ0311544981,Rudolfov
CZ0723544990,Valašská Polanka
CZ0311545007,Římov
CZ0311545015,Sedlec
CZ0311545023,Slavče
CZ0723545058,Valašské Meziříčí
CZ0205534501,Úmonín
CZ0205534510,Úžice
CZ0205534536,Vidice
CZ0205534552,Vlačice
CZ0205534561,Vlastějovice
CZ0203532771,Přelíc
CZ0207535656,Dlouhá Lhota
CZ0311535664,Doubravice
CZ0207535672,Dobrovice
CZ0311535681,Borovnice
CZ0311535699,Petříkov
CZ0207535702,Dolní Bousov
CZ0207535711,Dolní Krupá
CZ0203532444,Kačice
CZ0203532738,Pletený Újezd
CZ0201532746,Děkanovice
CZ0723544728,Pržno
CZ0311544736,Ledenice
CZ0311544744,Libín
CZ0311544761,Lipí
CZ0311544779,Lišov
CZ0311544795,Litvínovice
CZ0311544817,Mladošovice
CZ0634544833,Bačkovice
CZ0206535044,Mělnické Vtelno
CZ0206535052,Mšeno
CZ0206535061,Nebužely
CZ0206534749,Čečelice
CZ0208534757,Seletice
CZ0203532754,Podlešín
CZ020A532789,Ptice
CZ0203532797,Řisuty
CZ0203532835,Smečno
CZ0202533106,Trubín
CZ0203533114,Zlonice
CZ0202533319,Malá Víska
CZ0204533327,Horní Kruty
CZ0202533335,Lhotka
CZ0203532487,Knovíz
CZ0209533718,Stříbrná Skalice
CZ0423565849,Velemín
CZ0311535494,Úsilné
CZ0207535516,Boseň
CZ0311535524,Hosty
CZ0206534765,Dolní Beřkovice
CZ0206534790,Horní Počaply
CZ0311535176,Planá
CZ0724535184,Tichov
CZ0206535192,Spomyšl
CZ0209533904,Vyžlovka
CZ0203533149,Žilina
CZ0203533157,Žižice
CZ0207536008,Katusice
CZ0205534587,Vrdy
CZ0205534668,Žleby
CZ0311545066,Srubec
CZ0311545074,Staré Hodějovice
CZ0311545082,Strážkovice
CZ0311545091,Střížov
CZ0207535966,Jabkenice
CZ0207535974,Jivina
CZ0311535991,Pištín
CZ0311536016,Zahájí
CZ0207536024,Klášter Hradiště nad Jizerou
CZ0311535206,Dobrá Voda u Českých Budějovic
CZ0207535729,Dolní Slivno
CZ0204533289,Dobřichov
CZ0204533297,Dolní Chvatliny
CZ0204533301,Doubravčice
CZ0723544949,Valašská Bystřice
CZ0634544957,Lovčovice
CZ0311544965,Radošovice
CZ0205534595,Záboří nad Labem
CZ0205534609,Zbizuby
CZ0205534617,Zbraslavice
CZ0205534625,Zbýšov
CZ0205534633,Zruč nad Sázavou
CZ0205534650,Žehušice
CZ0206534676,Mělník
CZ0207535745,Domousnice
CZ0311535753,Hůry
CZ0715535770,Horní Studénky
CZ0207536041,Kněžmost
CZ0207536067,Kochánky
CZ0208536083,Velenice
CZ0203532452,Kamenné Žehrovice
CZ0203532461,Klobuky
CZ0201532509,Šetějovice
CZ0203532517,Kvílice
CZ0203532525,Kyšice
CZ0203532533,Ledce
CZ0201532550,Ratměřice
CZ0201532568,Bernartice
CZ0203532576,Libušín
CZ0206535079,Nelahozeves
CZ0206535087,Neratovice
CZ0715535532,Hanušovice
CZ0207535559,Brodce
CZ0207535567,Březina
CZ0311535575,Habří
CZ0207535583,Březno
CZ0715536091,Hrabišín
CZ0311536105,Horní Kněžeklady
CZ0207536121,Kosořice
CZ0209536130,Kostelní Hlavno
CZ0711536148,Javorník
CZ0208534862,Zvěřínek
CZ0204533611,Přišimasy
CZ0204533629,Radim
CZ0204533645,Radovesnice II
CZ0202533963,Skřipel
CZ0205533971,Bílé Podolí
CZ0205533980,Bohdaneč
CZ0205534005,Čáslav
CZ0205534013,Černíny
CZ0206534838,Chorušice
CZ0206534846,Chvatěruby
CZ0208534854,Hořany
CZ0208534871,Velenka
CZ0206534897,Kly
CZ0206535222,Tišice
CZ0206534901,Kokořín
CZ0206534935,Kostelec nad Labem
CZ0208534943,Kouty
CZ0204533661,Rostoklaty
CZ0715533688,Dlouhomilov
CZ0204533696,Skvrňov
CZ0204533700,Starý Kolín
CZ0204533734,Tismice
CZ0204533751,Třebovle
CZ0205534056,Horka II
CZ0205534064,Hostovlice
CZ0202534072,Kotopeky
CZ0205534099,Chlístovice
CZ0205534102,Chotusice
CZ0205534129,Kácov
CZ0205534137,Kluky
CZ0202534145,Bykoš
CZ0311535249,Dasný
CZ0206535257,Úžice
CZ0207536164,Krásná Ves
CZ0207536172,Krnsko
CZ0207536181,Kropáčova Vrutice
CZ0311536199,Dobšice
CZ0207536202,Ledce
CZ0207536211,Lhotky
CZ0311535281,Mydlovary
CZ0325566543,Myslinka
CZ0207536326,Mnichovo Hradiště
CZ0204533777,Tuchoraz
CZ0204533785,Tuklaty
CZ0204533815,Uhlířská Lhota
CZ0204533823,Veletov
CZ0204533840,Velký Osek
CZ0204533858,Veltruby
CZ0204533866,Vitice
CZ0209533874,Vlkančice
CZ0311535788,Dubičné
CZ0311535796,Vráto
CZ0207535818,Horky nad Jizerou
CZ0207535834,Horní Bukovina
CZ0311535851,Hlavatce
CZ0207535869,Hrdlořezy
CZ0312536229,Chlumec
CZ0312536237,Zvíkov
CZ0312536245,Srnín
CZ0205534200,Miskovice
CZ0208537454,Lysá nad Labem
CZ0208537462,Mcely
CZ0208537489,Městec Králové
CZ0208537497,Milčice
CZ0208537811,Sokoleč
CZ0633537829,Proseč
CZ0208537837,Stará Lysá
CZ0412537845,Teplička
CZ0208537853,Straky
CZ0208537349,Košík
CZ0209538272,Jirny
CZ0209538281,Kaliště
CZ0209538299,Kamenice
CZ0209538311,Klecany
CZ0209538329,Klíčany
CZ0206538345,Kojetice
CZ0209538370,Kostelec u Křížků
CZ0209538957,Úvaly
CZ0209538965,Veleň
CZ020A539872,Zbuzany
CZ0208537951,Vlkov pod Oškobrhem
CZ0413538396,Šabina
CZ0209538418,Křížkový Újezdec
CZ0209538426,Kunice
CZ0413538434,Svatava
CZ0209538981,Velké Popovice
CZ0209539015,Vodochody
CZ0411539023,Třebeň
CZ0209539031,Všestary
CZ0209539058,Zdiby
CZ020A539350,Jinočany
CZ020A539368,Kamenný Přívoz
CZ0411539376,Vlkovice
CZ0412537969,Otovice
CZ0208537985,Všechlapy
CZ0208537993,Vykáň
CZ0209538451,Louňovice
CZ0209538469,Máslovice
CZ0209538477,Měšice
CZ0209538493,Mnichovice
CZ0209538515,Mratín
CZ0209539066,Zeleneč
CZ0411539074,Vojtanov
CZ0209539082,Zlonín
CZ0209539091,Zvánovice
CZ020A539104,Bojanovice
CZ020A539775,Tursko
CZ020A539813,Velké Přílepy
CZ0324539821,Horní Lukavice
CZ0412538019,Černava
CZ0412538027,Smolné Pece
CZ0204538035,Žehuň
CZ0209538043,Babice
CZ0209538051,Bašť
CZ0209538566,Nový Vestec
CZ0316536601,Kocelovice
CZ0316536776,Slaník
CZ0316536806,Krašlovice
CZ0715536814,Kosov
CZ0316536831,Libětice
CZ0207536857,Velké Všelisy
CZ0316536865,Rovná
CZ0316536890,Uzeničky
CZ0209538574,Odolena Voda
CZ0209538582,Ondřejov
CZ0413538591,Dolní Rychnov
CZ020A539121,Černolice
CZ020A539244,Hostivice
CZ020A539830,Vonoklasy
CZ0316536784,Strunkovice nad Volyňkou
CZ0204533220,Břežany II
CZ0411539554,Odrava
CZ0209538876,Šestajovice
CZ0209538884,Škvorec
CZ0202533203,Králův Dvůr
CZ0204533211,Břežany I
CZ0204533238,Býchory
CZ020A539139,Černošice
CZ020A539147,Číčovice
CZ020A539856,Všenory
CZ0209538230,Hovorčovice
CZ0207536431,Petkovy
CZ0207536440,Písková Lhota
CZ0207536458,Plazy
CZ0316536466,Mačkov
CZ0316536474,Němčice
CZ0316536482,Zahorčice
CZ0316536679,Třešovice
CZ0209533564,Oleška
CZ0204533572,Ovčáry
CZ0204533581,Plaňany
CZ0204533599,Polepy
CZ020A539562,Pohoří
CZ020A539571,Průhonice
CZ020A539597,Psáry
CZ020A539627,Roztoky
CZ020A539643,Řevnice
CZ020A539660,Slapy
CZ0209538728,Říčany
CZ0209538761,Sibřina
CZ0209538779,Sluhy
CZ0715536687,Klopina
CZ0316536695,Úlehle
CZ0207536989,Žerčice
CZ0208537021,Běrunice
CZ0316536903,Chobot
CZ0315537144,Dvory
CZ0208537152,Hořátev
CZ0201532592,Tisem
CZ0201532614,Vodslivy
CZ0203532622,Makotřasy
CZ0209538132,Čelákovice
CZ0209538141,Čestlice
CZ0412538159,Hájek
CZ0209538167,Dobřejovice
CZ020A539252,Hradištko
CZ0411539279,Velká Hleďsebe
CZ020A539295,Chrášťany
CZ020A539309,Chýně
CZ020A539686,Statenice
CZ020A539708,Středokluky
CZ0208537039,Bobnice
CZ0208537217,Choťánky
CZ0204533459,Krupá
CZ0204533467,Křečhoř
CZ0204533483,Libodřice
CZ0711533491,Černá Voda
CZ0204533505,Lošany
CZ0209538639,Polerady
CZ0206538647,Postřižín
CZ0209538655,Předboj
CZ0413538663,Tatrovice
CZ020A539155,Čisovice
CZ020A539163,Davle
CZ0324539716,Měcholupy
CZ020A539767,Tuchoměřice
CZ0209538248,Hrusice
CZ0208537233,Chrást
CZ0208537250,Jíkev
CZ0208537268,Jizbice
CZ0208537276,Kamenné Zboží
CZ0715537284,Lesnice
CZ0207536491,Předměřice nad Jizerou
CZ0316536512,Truskovice
CZ0204533343,Chotutice
CZ0204533351,Chrášťany
CZ0204533360,Jestřabí Lhota
CZ0204533386,Klučov
CZ0205551465,Košice
CZ0209539040,Vyšehořovice
CZ0208537977,Vrbová Lhota
CZ020A539180,Dobříč
CZ020A539198,Dobřichovice
CZ0206539201,Dolany nad Vltavou
CZ0209538841,Světice
CZ0411538795,Krásná
CZ0209538809,Strančice
CZ0411538817,Podhradí
CZ0316536539,Milejovice
CZ0316536547,Přechovice
CZ0316536555,Krty-Hradec
CZ0208537055,Budiměřice
CZ0208537110,Dvory
CZ0203532631,Malé Kyšice
CZ0203532681,Otvovice
CZ0203532967,Třebíz
CZ0203532975,Třebusice
CZ0203532983,Tuchlovice
CZ020A539392,Kosoř
CZ020A539406,Lety
CZ020A539414,Libčice nad Vltavou
CZ020A539422,Libeř
